question;answer
Добрый день! Каков порядок осуществления закупки у по 223-ФЗ на поставку легкового автомобиля. Обязательно ли проведение конкурентной закупки или возможна закупка у единственного поставщика? Необходимо ли вносить изменения в Положение о закупках товаров, работ, услуг ( 223-фз) если сумма закупки у единственного поставщика превышает стоимость закупки, утвержденную Положением? Каков порядок внесения изменений? Спасибо за ответ.;"Заказчик в рассматриваемом случае должен проводить закупку лекового автомобиля в электронной форме способом, определяемым самостоятельно в положении о закупке (ч. 4 ст. 3 223-фз, Постановление Правительства РФ от 21.06.2012 N 616). Однако, данная норма и Постановление не применяется, если Заказчик решить провести данную закупку у единственного поставщика. Таким образом, Заказчик самостоятельно принимает решение - проводить конкурентную закупку или закупать у единственного поставщика. Закупка у единственного поставщика должна осуществляться только в порядке и случаях, установленных в Положении о закупках Заказчика. Если стоимость закупки превышает установленные пределы сумм закупки у единственного поставщика Заказчик может внести изменение в положение о закупке, но обратите внимание, что новая редакция Положения утверждается, в зависимости от вашей организационно-правовой формы, только лицами или органами, уполномоченными утверждать положение о закупке (чаще всего это учредители - министерства и веомства) и не всегда они согласовывают изменение оснований закупки у единственного поставщика. Кроме того, обратите внимание, если для вашей организации применяется типовое положение о закупке, утвержденное учредителем, то внести нужные вам изменения будет практически не реально. Если все же вы решите вносить изменение в Положение о закупке, то нужно: - составить документ с перечнем изменений; - подготовить новую редакцию положения; - утвердить изменения так же, как утверждали само положение; - разместить документы в ЕИС - у вас есть на это 15 дней после утверждения изменений.



"
"Здравствуйте! столкнулись вот с такой статьей: “Вправе ли заказчик закупить пассажирские перевозки на территории муниципального образования у едпоставщика
В данном случае возможны два варианта в зависимости от объекта закупки.
Вариант I. Нельзя, если закупаете услуги по организации регулярных перевозок по нерегулируемым тарифам. Закупку таких услуг заказчик должен проводить открытым конкурсом.
Вариант II. Можно, если закупаете услуги по регулярным внутригородским и пригородным перевозкам пассажиров автобусным транспортом по коду ОКПД2 49.31.21.110 и цена контракта не превышает 600 000 руб.
Услуги по организации регулярных перевозок заказчик закупает открытым конкурсом по правилам Закона № 44-ФЗ с учетом требований Закона от 13.07.2015 № 220. Услуги по регулярным внутригородским и пригородным перевозкам пассажиров автобусным транспортом с кодом ОКПД2 49.31.21.110 включены в аукционный перечень. Услуги, которые включены в аукционный перечень, но с ценой менее 600 000 руб., заказчик вправе закупать у единственного поставщика по пункту 4 части 1 статьи 93 Закона № 44-ФЗ.
Вывод следует из статьи 19 Закона от 13.07.2015 № 220, части 6 статьи 24 Закона № 44-ФЗ.”

наш вопрос: У нас запланирована закупка по ОКПД2 49.31.21.110. на выдачу свидетельства об осуществлении перевозок по муниципальному маршруту регулярных перевозок. Условная цена НМЦК 1,00 руб., так как мы оплату стоимости проезда не производим, перевозчик деньги за проезд оставляет у себя, то есть по результатам этого конкурса мы выдали свидетельство и утвердили маршрут. Также Этой закупкой мы определяем перевозчика, чтобы он соответствовал всем условиям. Всегда проводили электронный конкурс.
Но прочитав вышеуказанную статью, задались вопросом, можно ли вместо конкурса заключить прямой договор по п.4 ч.1 ст.93 именно в нашем случае.";Закупка на выдачу свидетельства об осуществлении перевозок по муниципальному маршруту регулярных перевозок регулируется не 44-ФЗ, а специальным законом - Федеральным законом от 13.07.2015 N 220-ФЗ. Согласно ч. 2 ст. 19 указанного Закона № 220-ФЗ данная закупка должна проводиться в форме открытого конкурса - порядок проведения которого регулируется ст. 21-24 Закона № 220-ФЗ. Соответственно, применять положения п. 4 ч. 1 ст. 93 закона № 44-ФЗ к данной закупке не могут применяться.
Добрый день. Подскажите, пожалуйста, Поставщик хочет добавить в контракт производителя товара, заключив дополнительное соглашение. Является ли информация о производителе товара существенным условием контракта?;По общим нормам гражданского законодательства и законодательства в сфере закупок информация о производителе товара не является существенным условием договора. Но стороны могут признать информацию о производителе товара существенным условием по соглашению сторон отдельно указав это в контракте или в дополнительном соглашении к контракту. Если же в контракте изначально была указана поставка товара конкретного производителя, то указание другого производителя будет считаться изменением существенного условия контракта и в таком случае вносить изменения о смене производителя или добавлении еще одного нужно осуществлять по основаниям ст. 95 44-ФЗ.
Здравствуйте! Подскажите, пожалуйста, располагаемся в СПБ и уже не первый год возникает проблема с регистрацией договора с НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ “ФОНД-РЕГИОНАЛЬНЫЙ ОПЕРАТОР КАПИТАЛЬНОГО РЕМОНТА ОБЩЕГО ИМУЩЕСТВА В МНОГОКВАРТИРНЫХ ДОМАХ. Как правильно оформлять наши отношения? У нас много объектов, которые располагаются в многоквартирных домах. Но это вроде не услуга по содержанию помещений и п. 22 ч. 1 ст. 9, ведь в результате приемки услуги как таковой нет. В тоже время они не монополист (в реестре отсутствуют). Тратить на них 4,5 пункт ст. 93, как-то странно. Как правильно оформлять отношения в такими организациями? Спасибо.;Согласно разъяснениям Министерства финансов РФ в письме от 31 октября 2017 г. N 24-02-07/71550 - перечисление взносов на капитальный ремонт на счет регионального оператора в целях формирования фонда капитального ремонта не входит в сферу применения Закона о контрактной системе. На наш взгляд, возможным видится заключение прямого догоовра по п. 4,5 ч. 1 ст. 93 Закона о контрактной системе или по п. 23 ч. 1 ст. 93 44-ФЗ, которая предусматривает - закупка у единственного поставщика (подрядчика, исполнителя) может осуществляться заказчиком в случае заключения контракта на оказание услуг по содержанию и ремонту одного или нескольких нежилых помещений, переданных в безвозмездное пользование или оперативное управление заказчику, услуг по водо-, тепло-, газо- и энергоснабжению, услуг по охране, услуг по вывозу бытовых отходов в случае, если данные услуги оказываются другому лицу или другим лицам, пользующимся нежилыми помещениями, находящимися в здании, в котором расположены помещения, переданные заказчику в безвозмездное пользование или оперативное управление. Относительно применение п. 23 ч. 1 ст. 93 Закона о контрактной системе в вашем случае рекомендовали бы обратиться с официальным запросом в Министерство финансов Российской Федерации. 
Добрый день! Подскажите, пожалуйста, как можно выйти из ситуации. Контракт на поставку бытовой химии, в одной из позиций поставщик указал на площадке фасовку 5 кг, в приложенном к заявке файле – 6 кг. В контракт внесли 5 кг, как на площадке. Но у поставщика есть возможность поставить товар фасовкой 6 кг. Можем ли мы заключить дополнительное соглашение, чтобы изменить фасовку и на каком основании? Для улучшения характеристик одной фасовки недостаточно.;После того, как контракт уже заключен и подписан, Поставщик должен выполнить все условия, которые указаны в заключенном контракте. Выражать несогласие с условиями контракта Поставщик может только до его подписания посредством направления протокола разногласий, в котором можно было указать на разницу в извещении и проекте контракта. Относительно изменения контракта по ч. 7 ст. 95 44-ФЗ, объективно, размер фасовки не является улучшением товара. Однако, Закон № 44-ФЗ вообще не предусматривает критериев признания тех или иных характеристик улучшениями, признание их таковыми остается на усмотрение Заказчика.
"Добрый день.
Наша организация (АО с госучастием) закупает услуги аудита бухгалтерской отчетности в соответствии с ч.4 ст 5 Закона № 307-ФЗ и является заказчиком по Закону № 223-ФЗ.
Отбор осуществляем по 44-ФЗ в форме конкурса. Согласно разъясняющим письмам Минфина: мы обязаны осуществить отбор по 44-ФЗ. но не обязаны применять нормы об планировании, нормировании, исполнении контрактов. С другой стороны закупка аудита не регламентируется нормами 223-ФЗ.
Сведения о заключенном контракте требуется ли вносить в реестр контрактов/ реестр договоров?";Так как из сферы регулирования Закона N 223-ФЗ исключены отношения, связанные с осуществлением заказчиком именно процедуры отбора аудиторской организации для проведения обязательного аудита (п. 7 ч. 4 ст. 1 Закона N 223-ФЗ), то на указанные отношения распространяется действие 44-ФЗ только в части проведения конкурса, все остальные этапы должны регулироваться 223-ФЗ и положением о закупке вашей организации. Поэтому считаем, что информацию о договоре (контракте) с аудиторской организацией нужно включить в отчетность и, при необходимости, в реестр договоров в общем порядке, предусмотренном для закупок по Закону № 223-ФЗ, так как отношения, связанные с исполнением данного договора (контракта) после проведения конкурса, регулируются Законом N 223-ФЗ и положением о закупке заказчика (ч. 1, 2 ст. 2 Закона N 223-ФЗ).
Добрый день. Возможно ли в организации возложить следующие полномочия: распоряжение о совершении казначейских платежей, прием денежных обязательств, заявка на кассовый расход на отдел закупок организации?;"Законодательство не содержит требований к должностным обязанностям сотрудников контрактных служб. Заказчик самостоятельно распределяет обязанности между сотрудниками. Рекомендуем обращать внимание на обязанности прописанные в Приказе Минфина России от 31.07.2020 N 158н ""Об утверждении Типового положения (регламента) о контрактной службе"", а также ведомственные акты (при наличии)."
Как можно приобрести нестандартное оборудование в рамках ФЗ-44?;"Составьте обоснование использования дополнительных характеристик товара (работы, услуги), если указываете характеристики, не предусмотренные в позиции каталога (КТРУ) (п. 6 Правил использования каталога товаров, работ, услуг для обеспечения государственных и муниципальных нужд (утв. постановлением Правительства РФ от 8 февраля 2017 г. N 145) ). 
В большинстве случаев вы вправе указать в документах дополнительную информацию и характеристики. Их нельзя приводить, если: 
- при закупке радиоэлектронной продукции, предусмотренной п. п. 22, 23, 29 Перечня к Постановлению N 616, вы установили запрет на допуск иностранных товаров в соответствии с этим Постановлением;
- при закупке радиоэлектронной продукции, включенной в Перечень к Постановлению N 878, вы установили ограничение допуска иностранных товаров согласно данному Постановлению;
- особенностями описания отдельных видов объектов закупок предусмотрены иные правила (п. 5 Правил использования КТРУ).
"
"Наше учреждение работает по 44-ФЗ и по 223-ФЗ. 
Закупка эквайринга проводится по 223-ФЗ. 
Подскажите, в рамках 223-ФЗ можем ли мы заключить договор эквайринга с единственным поставщиком? В положении прописано заключение с ед. поставщиком на финансовые услуги?";"Добрый день! Заключение договора эквайринга по 223 ФЗ возможно, в том числе с единственным поставщиком. Относительно выбора пункта из вашего положения о закупках, то следует обратить внимание, что в законодательстве содержится следующее определение финансовой услуги - финансовая услуга - банковская услуга, страховая услуга, услуга на рынке ценных бумаг, услуга по договору лизинга, а также услуга, оказываемая финансовой организацией и связанная с привлечением и (или) размещением денежных средств юридических и физических лиц (п. 2 ч. 1 ст. 4 ФЗ № 135 ""О защите конкуренции). Если буквально толковать данное определение, то финансовая услуга это разновидность услуг, которые оказывают финансовые организации, но эти услуги связаны с привлечением и (или) размещением денежных средств физических и юридических лиц. Эквайринг - это комплекс услуг по организации расчетов посредством банковских карт организацией или индивидуальным предпринимателем для оплаты товаров, работ или услуг, то есть услуги эквайринга носят организационный (технический) характер и не связаны с привлечением и размещением денежных средств финансовыми организациями. В вашем случае рекомендовали бы заключить договор с единственным поставщиком, но не по пункту ""финансовые услуги"""
"Добрый день! Помогите пожалуйста разобраться, хотим заключить дополнительное соглашение об увеличении цены контракта. Закупка была «подключ» т.е проектирование и строительство дома. По результатам гос.экспертизы затраты на строительство дома увеличиваются на 50 млн. Закупка была на общих основания и участник закупки предоставлял обеспечение в размере 3 % от НМЦК. Участник был единственный и выиграл аукцион по максимальной цене. В соответствии частью 1.3. ст.95 : Предусмотренные частью 1 настоящей статьи изменения осуществляются при условии предоставления поставщиком (подрядчиком, исполнителем) в соответствии с настоящим Федеральным законом обеспечения исполнения контракта, если такие изменения влекут возникновение новых обязательств поставщика (подрядчика, исполнителя), не обеспеченных ранее предоставленным обеспечением исполнения контракта, и если при определении поставщика (подрядчика, исполнителя) требование обеспечения исполнения контракта установлено в соответствии со статьей 96 настоящего Федерального закона. При этом: 2) обеспечение исполнения контракта может быть предоставлено путем внесения соответствующих изменений в условия ранее предоставленной заказчику независимой гарантии; 3) если обеспечение исполнения контракта осуществляется путем предоставления новой независимой гарантии, возврат заказчиком ранее предоставленной ему независимой гарантии предоставившему ее гаранту не осуществляется, взыскание по ней не производится, заказчик признается отказавшимся от своих прав по ранее предоставленной независимой гарантии, обязательство гаранта перед заказчиком по ранее предоставленной независимой гарантии прекращается с момента выдачи новой независимой гарантии; В нашем случае, обеспечение исполнения контракта установлено в размере 3 % – 4 868 65,42 от НМЦК (231 840 591, 58 RUB). Обеспечение предоставлено в виде независимой гарантии. Цена контракта по итогам закупки 231 840 591, 58. Новая цена контракта с учетом гос.экспертизы составит 254 105 994,30 . Какой размер обеспечения должен предоставить Поставщик в случае: 1) внесения изменений в ранее предоставленную гарантию 2) в случае предоставление новой независимой гарантии? Или Поставщик не обязан предоставлять новое обеспечение , т.к. уже внесено обеспечение в размере 3% от НМЦК , но при этом новая цена контракта с учетом доп соглашения выше НМЦК?

";"Добрый день! В связи с тем, что меняется существенное условие контракта по ч. 1 ст. 95 44-ФЗ Вы обязаны применить ч. 1.3. ст. 95 44-ФЗ и до подписания дополнительного соглашения требовать от подрядчика предоставления обеспечения способами, указанными в ч. 1.3. ст. 95 44-ФЗ (внесение изменения в действующую гарантию; предоставление новой гарантии). Размер обеспечения должен быть 3% от новой увеличенной суммы контракта, то есть от 254 105 994,30. В данном случае не имеет значение вносится ли изменение в действующую гарантию или предоставляется новая, в любом случае должна быть обеспечено выполнение обязательств на новую сумму договора. Обратите внимание, что в дополнительном соглашении необходимо обязательно указать, что меняется сумма обеспечения и что подрядчик предоставил обеспечение."
